archivo	iteracion_bayesiana	ganancia	corte
hibridacion_8120ZZa_8201ZZa_8202ZZa_8204ZZa_09000.csv	-1	-1	9000
hibridacion_8120ZZa_8201ZZa_8202ZZa_8204ZZa_09500.csv	-1	-1	9500
hibridacion_8120ZZa_8201ZZa_8202ZZa_8204ZZa_10000.csv	-1	-1	10000
hibridacion_8120ZZa_8201ZZa_8202ZZa_8204ZZa_10500.csv	-1	-1	10500
hibridacion_8120ZZa_8201ZZa_8202ZZa_8204ZZa_11000.csv	-1	-1	11000
hibridacion_8120ZZa_8201ZZa_8202ZZa_8204ZZa_11500.csv	-1	-1	11500
hibridacion_8120ZZa_8201ZZa_8202ZZa_8204ZZa_12000.csv	-1	-1	12000
hibridacion_8120ZZa_8201ZZa_8202ZZa_8204ZZa_12500.csv	-1	-1	12500
hibridacion_8120ZZa_8201ZZa_8202ZZa_8204ZZa_13000.csv	-1	-1	13000
hibridacion_8120ZZa_8201ZZa_8202ZZa_8204ZZa_13500.csv	-1	-1	13500
hibridacion_8120ZZa_8201ZZa_8202ZZa_8204ZZa_14000.csv	-1	-1	14000
